Number	type	labels	radius	sph_theta	sph_phi	theta	sph_radius	X	Y	Z	
1	EEG	EEG-FP1	0.511	 18	 -2	-18	  1	0.95	0.309	-0.0349	
2	EEG	EEG-AF7	0.511	 38	 -2	-38	  1	0.788	0.615	-0.0349	
3	EEG	EEG-AF3	0.411	 23	 16	-23	  1	0.885	0.376	0.276	
4	EEG	EEG-F1	0.278	 22	 40	-22	  1	0.71	0.287	0.643	
5	EEG	EEG-F3	0.333	 39	 30	-39	  1	0.673	0.545	0.5	
6	EEG	EEG-F5	0.417	 49	 15	-49	  1	0.634	0.729	0.259	
7	EEG	EEG-F7	0.511	 54	 -2	-54	  1	0.587	0.809	-0.0349	
8	EEG	EEG-FT7	0.511	 72	 -2	-72	  1	0.309	0.95	-0.0349	
9	EEG	EEG-FC5	0.394	 69	 19	-69	  1	0.339	0.883	0.326	
10	EEG	EEG-FC3	0.278	 62	 40	-62	  1	0.36	0.676	0.643	
11	EEG	EEG-FC1	0.178	 45	 58	-45	  1	0.375	0.375	0.848	
12	EEG	EEG-C1	0.128	 90	 67	-90	  1	2.39e-17	0.391	0.921	
13	EEG	EEG-C3	0.256	 90	 44	-90	  1	4.4e-17	0.719	0.695	
14	EEG	EEG-C5	0.383	 90	 21	-90	  1	5.72e-17	0.934	0.358	
15	EEG	EEG-T7	0.511	 90	 -2	-90	  1	6.12e-17	0.999	-0.0349	
16	EEG	EEG-TP7	0.511	108	 -2	-108	  1	-0.309	0.95	-0.0349	
17	EEG	EEG-CP5	0.394	111	 19	-111	  1	-0.339	0.883	0.326	
18	EEG	EEG-CP3	0.278	118	 40	-118	  1	-0.36	0.676	0.643	
19	EEG	EEG-CP1	0.178	135	 58	-135	  1	-0.375	0.375	0.848	
20	EEG	EEG-P1	0.278	158	 40	-158	  1	-0.71	0.287	0.643	
21	EEG	EEG-P3	0.333	141	 30	-141	  1	-0.673	0.545	0.5	
22	EEG	EEG-P5	0.417	131	 15	-131	  1	-0.634	0.729	0.259	
23	EEG	EEG-P7	0.511	126	 -2	-126	  1	-0.587	0.809	-0.0349	
24	EEG	EEG-P9	0.639	126	-25	-126	  1	-0.533	0.733	-0.423	
25	EEG	EEG-PO7	0.511	144	 -2	-144	  1	-0.809	0.587	-0.0349	
26	EEG	EEG-PO3	0.411	157	 16	-157	  1	-0.885	0.376	0.276	
27	EEG	EEG-O1	0.511	162	 -2	-162	  1	-0.95	0.309	-0.0349	
28	EEG	EEG-Iz	0.639	-180	-25	180	  1	-0.906	-1.11e-16	-0.423	
29	EEG	EEG-Oz	0.511	-180	 -2	180	  1	-0.999	-1.22e-16	-0.0349	
30	EEG	EEG-POz	0.383	-180	 21	180	  1	-0.934	-1.14e-16	0.358	
31	EEG	EEG-Pz	0.256	-180	 44	180	  1	-0.719	-8.81e-17	0.695	
32	EEG	EEG-CPz	0.128	-180	 67	180	  1	-0.391	-4.79e-17	0.921	
33	EEG	EEG-FPz	0.511	 -0	 -2	  0	  1	0.999	 -0	-0.0349	
34	EEG	EEG-FP2	0.511	-18	 -2	 18	  1	0.95	-0.309	-0.0349	
35	EEG	EEG-AF8	0.511	-38	 -2	 38	  1	0.788	-0.615	-0.0349	
36	EEG	EEG-AF4	0.411	-23	 16	 23	  1	0.885	-0.376	0.276	
37	EEG	EEG-AFz	0.383	 -0	 21	  0	  1	0.934	 -0	0.358	
38	EEG	EEG-Fz	0.256	 -0	 44	  0	  1	0.719	 -0	0.695	
39	EEG	EEG-F2	0.278	-22	 40	 22	  1	0.71	-0.287	0.643	
40	EEG	EEG-F4	0.333	-39	 30	 39	  1	0.673	-0.545	0.5	
41	EEG	EEG-F6	0.417	-49	 15	 49	  1	0.634	-0.729	0.259	
42	EEG	EEG-F8	0.511	-54	 -2	 54	  1	0.587	-0.809	-0.0349	
43	EEG	EEG-FT8	0.511	-72	 -2	 72	  1	0.309	-0.95	-0.0349	
44	EEG	EEG-FC6	0.394	-69	 19	 69	  1	0.339	-0.883	0.326	
45	EEG	EEG-FC4	0.278	-62	 40	 62	  1	0.36	-0.676	0.643	
46	EEG	EEG-FC2	0.178	-45	 58	 45	  1	0.375	-0.375	0.848	
47	EEG	EEG-FCz	0.128	 -0	 67	  0	  1	0.391	 -0	0.921	
48	EEG	EEG-Cz	  0	-90	 90	 90	  1	3.75e-33	-6.12e-17	  1	
49	EEG	EEG-C2	0.128	-90	 67	 90	  1	2.39e-17	-0.391	0.921	
50	EEG	EEG-C4	0.256	-90	 44	 90	  1	4.4e-17	-0.719	0.695	
51	EEG	EEG-C6	0.383	-90	 21	 90	  1	5.72e-17	-0.934	0.358	
52	EEG	EEG-T8	0.511	-90	 -2	 90	  1	6.12e-17	-0.999	-0.0349	
53	EEG	EEG-TP8	0.511	-108	 -2	108	  1	-0.309	-0.95	-0.0349	
54	EEG	EEG-CP6	0.394	-111	 19	111	  1	-0.339	-0.883	0.326	
55	EEG	EEG-CP4	0.278	-118	 40	118	  1	-0.36	-0.676	0.643	
56	EEG	EEG-CP2	0.178	-135	 58	135	  1	-0.375	-0.375	0.848	
57	EEG	EEG-P2	0.278	-158	 40	158	  1	-0.71	-0.287	0.643	
58	EEG	EEG-P4	0.333	-141	 30	141	  1	-0.673	-0.545	0.5	
59	EEG	EEG-P6	0.417	-131	 15	131	  1	-0.634	-0.729	0.259	
60	EEG	EEG-P8	0.511	-126	 -2	126	  1	-0.587	-0.809	-0.0349	
61	EEG	EEG-P10	0.639	-126	-25	126	  1	-0.533	-0.733	-0.423	
62	EEG	EEG-PO8	0.511	-144	 -2	144	  1	-0.809	-0.587	-0.0349	
63	EEG	EEG-PO4	0.411	-157	 16	157	  1	-0.885	-0.376	0.276	
64	EEG	EEG-O2	0.511	-162	 -2	162	  1	-0.95	-0.309	-0.0349	
